Unnamed: 0,protein_id_x,transcript_id,rNC1,rNC2,rKD1,rKD2,NC1,NC2,NC3,KD1,KD2,KD3,protein_id_y,High_Pause_Countsc18nc,protein_id,High_Pause_Countsc18ko
11657,ENSMUSP00000058521,ENSMUST00000055833,86,64,89,79,553.2,521.6,528.0,388.0,377.2,338.3,ENSMUSP00000058521,29.0,ENSMUSP00000058521,81.0
11663,ENSMUSP00000058567,ENSMUST00000055052,0,0,0,0,58.1,55.7,62.0,44.9,38.3,41.1,,0.0,ENSMUSP00000058567,7.0
11670,ENSMUSP00000058599,ENSMUST00000052566,102,100,149,135,118.4,112.0,122.9,122.5,108.7,115.8,ENSMUSP00000058599,13.0,ENSMUSP00000058599,23.0
11671,ENSMUSP00000058609,ENSMUST00000061586,113,104,258,187,42.1,31.5,40.8,44.1,63.0,55.6,ENSMUSP00000058609,89.5,ENSMUSP00000058609,161.5
11675,ENSMUSP00000058618,ENSMUST00000050556,520,443,917,749,5131.9,4895.7,5082.3,4312.2,3927.8,3677.7,ENSMUSP00000058618,252.5,ENSMUSP00000058618,279.0
11685,ENSMUSP00000058680,ENSMUST00000062962,67,41,95,73,96.5,82.4,80.2,87.0,96.1,95.0,ENSMUSP00000058680,23.5,ENSMUSP00000058680,65.0
11696,ENSMUSP00000058746,ENSMUST00000058137,51,61,86,81,156.7,153.3,156.1,145.1,140.1,119.0,ENSMUSP00000058746,66.5,ENSMUSP00000058746,45.5
11700,ENSMUSP00000058757,ENSMUST00000054547,114,83,131,96,1390.3,1398.6,1440.4,1050.8,971.9,887.1,ENSMUSP00000058757,39.0,ENSMUSP00000058757,99.5
11704,ENSMUSP00000058785,ENSMUST00000062678,421,351,634,586,837.1,813.4,829.6,796.6,730.2,660.2,ENSMUSP00000058785,21.0,ENSMUSP00000058785,38.0
11710,ENSMUSP00000058813,ENSMUST00000052375,0,0,0,0,30.4,22.8,20.0,23.4,26.9,25.0,,0.0,ENSMUSP00000058813,20.0
11713,ENSMUSP00000058840,ENSMUST00000055941,171,146,216,182,635.2,575.2,592.9,602.6,587.3,566.3,ENSMUSP00000058840,90.5,ENSMUSP00000058840,203.0
11714,ENSMUSP00000058846,ENSMUST00000056710,0,0,0,1,151.4,134.8,149.0,142.3,145.1,138.7,,0.0,ENSMUSP00000058846,9.0
11729,ENSMUSP00000058919,ENSMUST00000059980,8,3,8,4,1248.3,1122.6,1123.0,1021.5,1168.4,908.4,ENSMUSP00000058919,9.5,,0.0
11738,ENSMUSP00000058950,ENSMUST00000058579,46,26,75,59,190.9,182.6,193.9,205.0,195.3,171.2,ENSMUSP00000058950,35.0,ENSMUSP00000058950,120.0
11740,ENSMUSP00000058954,ENSMUST00000059052,76,71,146,123,646.9,646.2,663.6,711.4,674.8,593.1,ENSMUSP00000058954,34.0,ENSMUSP00000058954,69.0
11748,ENSMUSP00000058990,ENSMUST00000057576,37,44,56,47,591.0,626.8,616.5,617.8,538.1,504.7,ENSMUSP00000058990,76.0,ENSMUSP00000058990,99.5
11754,ENSMUSP00000059033,ENSMUST00000060311,96,94,175,147,2511.7,2437.2,2428.4,2243.7,2143.2,1953.7,ENSMUSP00000059033,107.5,ENSMUSP00000059033,160.0
