protein_id,High_Pause_Counts,transcript_id_x
ENSP00000212015.6,38,ENST00000212015.11
ENSP00000214869.1,9,ENST00000214869.7
ENSP00000215565.1,1,ENST00000215565.3
ENSP00000215567.4,29,ENST00000215567.10
ENSP00000215570.2,7,ENST00000215570.8
ENSP00000215574.2,5,ENST00000215574.9
ENSP00000215659.8,13,ENST00000215659.13
ENSP00000215730.6,5,ENST00000215730.12
ENSP00000215793.7,36,ENST00000215793.13
ENSP00000215829.3,1,ENST00000215829.8
ENSP00000215832.7,5,ENST00000215832.11
ENSP00000215882.5,9,ENST00000215882.10
ENSP00000215904.6,9,ENST00000215904.7
ENSP00000215909.5,10,ENST00000215909.10
ENSP00000215941.4,0,ENST00000215941.9
ENSP00000215980.5,0,ENST00000215980.10
ENSP00000216027.3,16,ENST00000216027.8
ENSP00000216034.4,5,ENST00000216034.6
ENSP00000216038.5,0,ENST00000216038.6
ENSP00000216044.5,2,ENST00000216044.10
ENSP00000216061.5,48,ENST00000216061.9
ENSP00000216068.4,0,ENST00000216068.9
ENSP00000216106.5,21,ENST00000216106.6
ENSP00000216117.8,7,ENST00000216117.9
ENSP00000216121.7,5,ENST00000216121.12
ENSP00000216122.3,4,ENST00000216122.9
ENSP00000216129.6,12,ENST00000216129.7
ENSP00000216160.6,11,ENST00000216160.11
ENSP00000216185.2,9,ENST00000216185.7
ENSP00000216218.3,47,ENST00000216218.8
ENSP00000216225.8,0,ENST00000216225.9
ENSP00000216237.5,16,ENST00000216237.10
ENSP00000216252.3,0,ENST00000216252.4
ENSP00000216259.7,9,ENST00000216259.8
ENSP00000216268.4,67,ENST00000216268.6
ENSP00000216277.8,28,ENST00000216277.13
ENSP00000216294.4,31,ENST00000216294.5
ENSP00000216297.2,43,ENST00000216297.7
ENSP00000216330.3,10,ENST00000216330.7
ENSP00000216367.5,23,ENST00000216367.10
ENSP00000216373.5,169,ENST00000216373.10
ENSP00000216392.7,35,ENST00000216392.8
ENSP00000216452.4,18,ENST00000216452.9
ENSP00000216455.4,0,ENST00000216455.9
ENSP00000216468.7,4,ENST00000216468.8
